"link","nazwa","cena","marka","srednia_ocena","liczba_ocen","typ_produktu","skladniki","alergeny"
"https://www.hebe.pl/puorella-rozswietlajaco-wygladzajaca-maska-w-plachcie-z-ekstraktem-z-perel-do-twarzy-21-g-000000000000390549.html","Rozświetlająco-wygładzająca maska w płachcie z ekstraktem z pereł do twarzy",4.99,"Puorella",5,296,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Pearl Extract, Silk Amino Acids, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/holika-holika-wodoodporny-krem-zel-przeciwsloneczny-do-twarzy-spf50-pa-100-ml-000000000000390581.html","Wodoodporny krem-żel przeciwsłoneczny do twarzy spf50 pa++++",79.99,"Holika Holika",5,2107,"Kremy do twarzy","Water, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Niacinamide, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, Butylene Glycol, 1, 2-Hexanediol, Hippophae Rhamnoides Fruit Extract, Daucus Carota Sativa (Carrot) Root Extract, Rosa Canina Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Aloe Ferox Leaf Extract, Artemisia Capillaris Extract, Prunus Armeniaca (Apricot) Juice, Hydrogenated Lecithin, Pentylene Glycol, Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Tromethamine, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Adenosine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Ascorbic Acid, Moringa Oleifera Seed Oil, Ceramide Np, Phytosphingosine, Parfum","alcohol"
"https://www.hebe.pl/puorella-odswiezajaco-nawilzajaca-maska-w-plachcie-z-ekstraktem-z-ogorka-do-twarzy-21-g-000000000000390553.html","Odświeżająco-nawilżająca maska w płachcie z ekstraktem z ogórka do twarzy",4.99,"Puorella",5,152,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Cucumis Sativus (Cucumber) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/puorella-regenerujaco-nawilzajaca-maska-w-plachcie-ze-sluzem-slimaka-do-twarzy-21-g-000000000000390551.html","Regenerująco-nawilżająca maska w płachcie ze śluzem ślimaka do twarzy",4.99,"Puorella",5,224,"Maseczki","Water, Glycerin, Alcohol, Panthenol, Butylene Glycol, Trehalose, Beta-Glucan, Carbomer, Triethanolamine, Phenoxyethanol, Peg-60 Hydrogenated Castor Oil, Chlorphenesin, Snail Secretion Filtrate, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salvia Officinalis (Sage) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Mentha Piperita (Peppermint) Leaf Extract, Disodium Edta, Fragrance","fragrance, alcohol"
"https://www.hebe.pl/bergamo-przeciwzmarszczkowy-krem-do-twarzy-z-peptydami-jadu-weza-50-ml-000000000000262674.html","Przeciwzmarszczkowy krem do twarzy z peptydami jadu węża",62.99,"Bergamo",5,491,"Kremy do twarzy","Aqua, Helianthus Annuus (Sunflower)Seed Oil, Dimethicone, Glycerin, Caprylic/Capric Triglyceride, Butylene Glycol, Polysorbate 60, Cetyl Alcohol, Stearic Acid, Glyceryl Stearate Se, Petrolatum, Beeswax, Sorbitan Sesquioleate, Glyceryl Stearate, Phenoxyethanol, Peg-100 Stearate, Carbomer, Triethanolamine, Parfum, Caramel, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Disodium Edta, Allantoin, Adenosine, Ci 17200.","alcohol"
"https://www.hebe.pl/beauty-of-joseon-przeciwsloneczny-krem-z-spf50-do-twarzy-50-ml-000000000000453981.html","Przeciwsłoneczny krem z spf50+ do twarzy",74.99,"Beauty Of Joseon",5,840,"Kremy z filtrem UV","Aqua, Dibutyl Adipate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Ethylhexyl Triazone, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (Nano), Niacinamide, Coco-Caprylate/Caprate, Caprylyl Methicone, Diethylhexyl Butamido Triazone, Glycerin, 1, 2-Hexanediol, Butylene Glycol, Pentylene Glycol, Behenyl Alcohol, Poly C10-30 Alkyl Acrylate, Polyglyceryl-3 Methylglucose Distearate, Decyl Glucoside, Oryza Sativa (Rice) Extract, Tromethamine, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Adenosine, Xanthan Gum, t-Butyl Alcohol, Tocopherol, Oryza Sativa (Rice) Germ Extract, Camellia Sinensis Leaf Extract, Aspergillus Ferment, Bacillus/Soybean Ferment Extract, Cocos Nucifera (Coconut) Fruit Extract, Lactobacillus/Pumpkin Ferment Extract, Macrocystis Pyrifera (Kelp) Extract, Monascus/Rice Ferment, Panax Ginseng Root Extract, Saccharomyces/Rice Ferment Filtrate, Saccharum Officinarum (Sugarcane) Extract","alcohol"
"https://www.hebe.pl/bergamo-ujedrniajacy-krem-do-twarzy-50-g-000000000000411833.html","Ujędrniający krem do twarzy",29.99,"Bergamo",5,261,"Kremy do twarzy","Aqua, Mineral Oil, Glycerin, Dipropylene Glycol, Cetyl Ethylhexanoate, Stearic Acid, Beeswax, Hydrogenated Polydecene, Cetearyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii (Shea Butter), Sorbitan Stearate, Peg-100, Stearate, Dimethicone, Phenoxyethanol, Carbomer, Arginine, Beta-Glucan, Soluble Collagen, Hydrolyzed Collagen, Hamamelis Virginiana(Witch Hazel) Leaf Extract, Allantoin, Disodium Edta, Adenosine, Parfum, Ci 15985","alcohol, propylene glycol"
"https://www.hebe.pl/cosrx-plasterki-punktowe-do-twarzy-18-szt.-1-opak.-000000000000476578.html","Plasterki punktowe do twarzy",17.99,"Cosrx",5,69,"Preparaty punktowe na wypryski","Petroleum Resin, Cellulose Gum, Styrene Isoprene Styrene Block Copolymer, Polyurethane Film, Polyisobutylene, Liquid Paraffin, Tetrakis Methane",NA
"https://www.hebe.pl/purederm-weganskie-kolagenowe-platki-pod-oczy-30-szt.-1-opak.-000000000000380137.html","Wegańskie kolagenowe płatki pod oczy",9.99,"Purederm",5,509,"Płatki pod oczy","Aqua, Glycerin, Soluble Collagen, Aloe Barbadensis Leaf Extract, Centella Asiatica Extract, Allantoin, Arbutin, Panthenol, Ascorbic Acid, Hydroxyethylcellulose, Tocopheryl Acetate, Peg-60 Hydrogenated  Castor Oil, Rosmarinus Officinalls (Rosemary) Leaf Oil, Disodium Edta, Hydroxyacetophenone, 1, 2-Hexanediol",NA
"https://www.hebe.pl/mediheal-nawilzajaca-maska-w-plachcie-do-twarzy-27-ml-000000000000502886.html","Nawilżająca maska w płachcie do twarzy",12.99,"Mediheal",5,46,"Maseczki","Aqua, Glycerin, Dipropylene Glycol, Glycereth-26, Niacinamide, 1, 2-Hexanediol, Hydroxyethyl Urea, Carbomer, Tromethamine, Betaine, Panthenol, Trehalose, Allantoin, Xanthan Gum, Polyglyceryl-10 Laurate, Adenosine, Polyglyceryl-4 Laurate, Zeolite, Glycine, Glutamic Acid, Parfum, Sodium Hyaluronate, Aspartic Acid, Tocopherol, Anastatica Hierochuntica Extract, Sodium Polyacrylate, Sodium Chloride, Histidine, Serine, Arginine, Alanine, Proline, Threonine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ceramide Np, Disodium Edta, Squalane, Magnesium Chloride, Calcium Chloride, Dimethylsilanol Hyaluronate, Hyaluronic Acid, Hydrolyzed Glycosaminoglycans, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer","propylene glycol"
"https://www.hebe.pl/cosrx-krem-do-twarzy-ze-sluzem-slimaka-100-g-000000000000454101.html","Krem do twarzy ze śluzem ślimaka",63.99,"Cosrx",5,464,"Kremy do twarzy","Snail Secretion Filtrate, Betaine, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Cetearyl Alcohol, Carbomer, Arginine, Dimethicone, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Stearic Acid, Allantoin, Panthenol, Xanthan Gum, Ethyl Hexanediol, Adenosine","alcohol"
"https://www.hebe.pl/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-50-ml-000000000000308192.html","Lekki krem przeciwsłoneczny do twarzy z spf50+ pa++++",63.99,"Skin79",5,2035,"Kremy z filtrem UV","Water, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Homosalate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Pentylene Glycol, 1, 2-Hexanediol, Ammonium Acryloyldimethyl Taurate/Vp Copolymer, Octyldodecanol, Dimethicone, Phenoxyethanol, Glyceryl Stearate, Fragrance (Limonene, Linalool, Citronellol, Citral, Hydroxycitronellal), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Polyglyceryl-3 Methylglucose Distearate, Polysorbate 20, Peg-100 Stearate, Helianthus Annuus (Sunflower) Seed Oil, Calendula Officinalis Flower Extract, Houttuynia Cordata Extract, Aloe Barbadensis Leaf Water, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Butylene Glycol, Caprylyl Glycol","fragrance"
"https://www.hebe.pl/bergamo-krem-z-wakrotka-azjatycka-do-twarzy-50-g-000000000000411830.html","Krem z wąkrotką azjatycką do twarzy",29.99,"Bergamo",5,177,"Kremy do twarzy","Aqua, Mineral Oil, Glycerin, Dipropylene Glycol, Cetyl Ethylhexanoate, Stearic Acid, Beeswax, Hydrogenated Polydecene, Cetearyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii (Shea Butter), Sorbitan Stearate, Peg-100 Stearate, Dimethicone, Phenoxyethanol, Carbomer, Arginine, Beta-Glucan, Hamamelis Virginiana(Witch Hazel) Leaf Extract, Centella Asiatica Extract, Hydrolyzed Collagen, Houttuynia Cordata Extract, Allantoin, Disodium Edta, Adenosine, Parfum, Ci 19140, Ci 15985","alcohol, propylene glycol"
"https://www.hebe.pl/purederm-oczyszczajacy-peeling-enzymatyczny-100-g-000000000000262124.html","Oczyszczający peeling enzymatyczny",19.99,"Purederm",5,487,"Oczyszczanie i demakijaż","Aqua, Peg-8, Cellulose, Dipropylene Glycol, Glycerin, Alcohol Denat., Sodium Hyaluronate, Pyrus Malus (Apple) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Allantoin, Beta-Glucan, Disodium Edta, Carbomer, Triethanolamine, Peg-60 Hydrogenated Castor Oil, Phenoxyethanol, Methylparaben, Parfum, Limonene","paraben, alcohol, propylene glycol"
"https://www.hebe.pl/missha-nawilzajaca-maska-w-plachcie-do-twarzy-19-g-000000000000370659.html","Nawilżająca maska w płachcie do twarzy",7.99,"Missha",5,129,"Maseczki","Water, Dipropylene Glycol, Glycereth-26, Glycerin, Propanediol, 1, 2-Hexanediol, Butylene Glycol, Sodium Carbomer, Allantoin, Hydroxyethylcellulose, Coptis Japonica Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Disodium Edta, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Sodium Hyaluronate, Aloe Barbadensis Leaf Extract, Olea Europaea (Olive) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Beta-Glucan, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Copaifera Officinalis (Balsam Copaiba) Resin, Cymbopogon Martini Oil, Lavandula Hybrida Oil, Salvia Sclarea (Clary) Oil.","propylene glycol"
"https://www.hebe.pl/pureheals-nawilzajaco-ujedrniajacy-krem-do-twarzy-50-ml-000000000000420813.html","Nawilżająco-ujędrniający krem do twarzy",49.89,"Pureheals",5,241,"Kremy do twarzy","Aqua, Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Niacinamide, Butyrospermum Parkii Butter, Glycereth-26, Hydrogenated Poly(C6-12 Olefin), Hydrogenated Polydecene, 1, 2-Hexanediol, Sorbitan Olivate, Cetearyl Glucoside, Benzyl Glycol, Cetearyl Olivate, Arginine, Caprylyl Methicone, Carbomer, Ethylhexylglycerin, C12-16 Alcohols, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Lithospermum Erythrorhizon Root Extract, Panthenol, Squalane, Parfum, Cetearyl Alcohol, Rosa Damascena Flower Water, Disodium Edta, Palmitic Acid, Adenosine, Hydrogenated Lecithin, Glycyrrhiza Uralensis Root Extract, Poria Cocos Extract, Ulmus Davidiana Root Extract, Rosa Canina Fruit Extract, Rosa Canina Fruit Oil, Rosa Centifolia Flower Extract, Rosa Centifolia Flower Water, Rosa Gallica Flower Extract, Rose Extract, Sodium Hyaluronate, Propanediol, Ceramide Np, Tocopherol, Sodium Hyaluronate Crosspolymer, Hydrolyzed Glycosaminoglycans, Euterpe Oleracea Fruit Extract, Fragaria Chiloensis Fruit Extract, Lycium Chinense Fruit Extract, Morus Nigra Fruit Extract, Ribes Nigrum Fruit Extract, Rubus Fruticosus Fruit Extract, Rubus Idaeus Fruit Extract, Vaccinium Angustifolium Fruit Extract, Vaccinium Macrocarpon Fruit Extract, Vaccinium Myrtillus Fruit Extract, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Glechoma Hederacea Extract, Camellia Sinensis Leaf Extract, Lactobacillus Ferment, Hyaluronic Acid, Raspberry Ketone, Sh-Oligopeptide-1","alcohol"
"https://www.hebe.pl/missha-nawilzajaco-odzywcza-maska-w-plachcie-do-twarzy-19-g-000000000000370660.html","Nawilżająco-odżywcza maska w płachcie do twarzy",7.99,"Missha",5,115,"Maseczki","Water, Glycerin, Dipropylene Glycol, Cetyl Ethylhexanoate, 1, 2-Hexanediol, Stearic Acid, Sorbitan Sesquioleate, Cetearyl Alcohol, Sorbitan Stearate, Glyceryl Stearate, Carbomer, Arginine, Butylene Glycol, Caprylic/Capric Triglyceride, Coptis Japonica Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Camellia Sinensis Leaf Extract, Glycerin, Trehalose, Ethylhexylglycerin, Cellulose Gum, Xanthan Gum, Disodium Edta, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Olea Europaea (Olive) Fruit Oil, Cedrus Deodara Wood Oil, Butyrospermum Parkii (Shea Butter) Extract, Vitis Vinifera (Grape) Leaf Oil, Amyris Balsamifera Bark Oil.","alcohol, propylene glycol"
"https://www.hebe.pl/bergamo-krem-przeciwzmarszczkowy-z-ekstraktem-ze-sluzu-slimaka-50-ml-000000000000262672.html","Krem przeciwzmarszczkowy z ekstraktem ze śluzu ślimaka",62.99,"Bergamo",5,333,"Kremy do twarzy","Aqua, Helianthus Annuus (Sunflower)Seed Oil, Butylene Glycol, Glycerin, Cetyl Ethylhexanoate, Hydrogenated Polydecene, Cetyl Alcohol, Stearic Acid, Beeswax, Glyceryl Stearate Se, Butyrospermum Parkii (Shea Butter), Sorbitan Stearate, Glyceryl Stearate, Dimethicone, Phenoxyethanol, Peg-100 Stearate, Carbomer, Triethanolamine, Caramel, Allantoin, Disodium Edta, Parfum, Adenosine, Snail Secretion Filtrate, Aloe Barbadensis Leaf Extract, Ci 17200","alcohol"
"https://www.hebe.pl/beauty-of-joseon-odzywcza-esencja-do-twarzy-150-ml-000000000000453349.html","Odżywcza esencja do twarzy",74.99,"Beauty Of Joseon",5,187,"Serum, esencje i ampułki","Panax Ginseng Root Water, Butylene Glycol, Glycerin, Propanediol, Niacinamide, 1, 2-Hexanediol, Water, Hydroxyacetophenone, Glyceryl Glucoside, Xanthna Gum, Panthenol, Dipotassium Glycyrrhizate, Allantoin, Adenosine, Panax Ginseng Callus Culture Extract, Theobroma Cacao(Cocoa) Extract, Dextrin, Glucose, Panax Ginseng Root Extract, Panax Ginseng Berry Extract, Lactobacillus/Panax Ginseng Root Ferment Filtrate, Sodium Hyaluronate, Ethylhexyglycerin, Disodium Edta",NA
"https://www.hebe.pl/erne-waleczne-plasterki-na-wypryski-i-niedoskonalosci-20-szt.-1-opak.-000000000000528184.html","Waleczne plasterki na wypryski i niedoskonałości",14.99,"Erne",5,37,"Preparaty punktowe na wypryski","Acrylates Copolymer, Croscarmellose, Polyisobutene, Propanediol, Xanthan Gum, Cyclohexane, Camellia Japonica Seed Oil, Calendula Officinalis Flower Oil, Niacinamide",NA
